model,metric,mean,std
RandomForest,accuracy,0.5357233542817241,0.020818915921788694
RandomForest,f1,0.35938113805171445,0.029383819063405724
RandomForest,precision,0.3883571505551925,0.0536251420703911
RandomForest,recall,0.3696417922700982,0.022828807906976795
LogisticRegression,accuracy,0.489043356820923,0.019460793625944266
LogisticRegression,f1,0.3385117405569546,0.029029559908325717
LogisticRegression,precision,0.37259250953692724,0.05713601441644019
LogisticRegression,recall,0.35240251438617776,0.02237948822105438
DecisionTree,accuracy,0.43278423157493806,0.02245494007196378
DecisionTree,f1,0.31833239426564075,0.02433527798761127
DecisionTree,precision,0.32819813421069055,0.029961806822684095
DecisionTree,recall,0.3238690042596292,0.028187126723188006
KNN,accuracy,0.37935313908461876,0.032527853904976166
KNN,f1,0.22945071707689674,0.025556928832797574
KNN,precision,0.2375960501991298,0.0318791682189852
KNN,recall,0.24067474835049257,0.02287534870138479
